ID,NOMEMISOR
1,MARITRANS
2,EUKOR CAR CARRIERS
3,HYUNDAI GLOVIS
4,WORLDWIDE CONTAINER LINE
5,NIPPON YUSEN KAISHA
6,CMA CGM
7,EUKOR
8,ASIA-STARTRANS
9,GREEN LOGISTICS
10,YUSEN LOGISTICS
11,MAGNUM FREIGHT FORWARDER CHILE
12,ORIENT DEUTSCH SUDAMERICANISCH
13,BON VOYAGE LOGISTICS IN
14,EUKOR CAR CARRIERS INC
15,MEDITERRANEAN SHIPPING COMPANY
16,BASE CARGO CHILE SPA
17,COSCO SHIPPING LINES CO. LTD.
18,INTEREXPRESS CORP
19,DSV AIR & SEA
20,ZIM INTEGRATED SHIPPING SERVIC
21,DSV OCEAN TRANSPORT A/S
22,KAWASAKI KISEN KAISHA LTD
23,NYK NIPPON YUSEN KAISHA
24,"COSCO SHIPPING LINES CO.,LTD"
25,PYRAMIDLINES
26,WALLENIUS WILHELMSEN
27,MAERSK
28,WALLENIUS WILHELMSEN OCEAN
29,HAPAG LLOYD
30,MAERSK LINE
31,ALLTRANSLOG INC
32,ORIENT DEUTSCH-SUDAMERIKANISCH
33,WIC LOGISTICS SPA
34,PACIFIC CARGO LINE
35,INTER AMERICAN CARGO LTDA.
36,MSL CHILE S.A.
37,CHARTER LINK LOG. CHILE SPA
38,DSV OCEAN TRANSPORT
39,DSV
40,LIBERA INTERSHIPMENTS LTDA.
41,ORIENT ODS
42,ODS ORIENT DEUTSCH-SUDAMERIKAN
43,PORTEVER SHIPPING LTD.
44,MITSUI O.S.K. LINES
45,MSC
46,NYK LINE
47,COSCO SHIPPING LINES .CO. LTDA
48,CRONOS LOGISTICA LTDA
49,K-LINE
50,KAWASAKI
51,K LINE
52,HYUNDAI GLOVIS CO.LTD.
53,BOLLORE LOGISTICS UK LTD
54,MULTI TASK BROKERS SPA
55,COMPASS LINES
56,AFS CARGO EIRL
57,MEDITER.SH.CO.S.A.
58,EVERGREEN
59,CMA CGM S.A.
60,HAPAG LLOYD CHILE SPA
61,MEDITERRANEAN SHIPPI
62,CARGOLAND
63,SACO COMBIMAR SPA
64,MEDITERRANEAN SHIPPING CO.
65,HAPAG LLOYD AG
66,COSCO SHIPPING LINES
67,ULS CHILE LTDA.
68,SEALAND
69,PIL-PACIFIC INTERNATIONAL LINE
70,ONE LINE
71,WALLENIUS WILHELMSEM
72,INVERSIONES PACIFIC CARGO S.A.
73,OCEAN NEXTWORK EXPRESS
74,KAWASAKI KISEN KAISHA
75,ACOSTA Y AGUAYO SPA
76,WORLD FAMILY LOGISTICS CO LTD
77,AGUNSA
78,GRUPO COMBIX
79,AGUNSA LOGISTICS
80,DANMAR LINES
81,"EAGLE EXPRESS LINES, INC"
82,INDUSTRIAL MARITIME CARRIERS
83,EXPEDITORS INTL OCEAN
84,"HYUNDAI GLOVIS CO., LTD."
85,SPARX LOGISTICS
86,OCEAN NETWORK EXPRESS
87,NYK GROUP
88,AGUNSA LOGISTCS
89,ULTRAMAR AGENCIA MAR
90,CLASQUIN CHILE SPA
91,BLUE ANCHOR
92,LYNUX SHIPPING LIMITED
93,AIRSEA LOGISTICS SPA
94,TRANSMEC OVERSEAS
95,EMP. TRANSP. MAR. ODS ORIENT C
96,PACIFIC CARGO LOGISTICS LLC
97,FAX CARGO CORPORATION
98,WORLDWIDE NEXUS LOGISTICS LLC
99,ORIENT DEUTSCH-SUDAMER
