NUMENCRIPTADO,TPO_DOCTO,NOMBRE_ADUANA,NOMBRE_COMUNA,NUM_UNICO_IMPORTADOR,NOMBRE_PAIS_ORIG,NOMBRE_VIA_TRANSPORTE,NOMBRE_PUERTO_EMBARQUE,NOMBRE_PUERTO_DESEMBARQUE,NOMBRE_TIPO_CARGA,NUM_MANIF,NOMBRE_NAVE,NOMBRE_AGENTE_DE_NAVES,NUM_CONOC,FEC_CONOC,NOMEMISOR,NOMBRE_MONEDA,FOB,FLETE,SEGURO,CIF,ARANC_NAC,TOTAL_BULTOS
20955958,151,SAN ANTONIO,LAMPA,12516,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,SAN ANTONIO,GENERAL,239233,XIN YA ZHOU,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.,(M)COSU6370424530,3122023,MARITRANS,DOLAR USA,309000,25035,340,334375,87024090,4
20981434,103,SAN ANTONIO,PUDAHUEL,10870,COREA DEL SUR,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS. COREA S,SAN ANTONIO,GENERAL,237767,BESS,IAN TAYLOR Y CIA. S.A.,EUKOHUSQ1935013,31102023,EUKOR CAR CARRIERS,DOLAR USA,22437,"1610,02","18,23","24065,25",87021019,1
21014856,103,SAN ANTONIO,PUDAHUEL,10870,COREA DEL SUR,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS. COREA S,SAN ANTONIO,GENERAL,237767,BESS,IAN TAYLOR Y CIA. S.A.,EUKOHUSQ1935017,31102023,EUKOR CAR CARRIERS,DOLAR USA,22437,"1610,02","18,21","24065,23",87021019,1
20985879,103,SAN ANTONIO,PUDAHUEL,10870,COREA DEL SUR,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS. COREA S,SAN ANTONIO,GENERAL,238749,MORNING CHORUS,IAN TAYLOR Y CIA. S.A.,HDGLKRCL0562033,30112023,HYUNDAI GLOVIS,DOLAR USA,22437,"1630,32","18,24","24085,56",87021019,1
20993803,151,SAN ANTONIO,PUDAHUEL,10870,COREA DEL SUR,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS. COREA S,SAN ANTONIO,GENERAL,239633,MORNING CHERRY,IAN TAYLOR Y CIA. S.A.,EUKOHUSQ1944340,28122023,EUKOR CAR CARRIERS,DOLAR USA,292031,"21194,16","237,45","313462,61",87021019,26
20946795,151,SAN ANTONIO,PUDAHUEL,10870,COREA DEL SUR,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS. COREA S,SAN ANTONIO,GENERAL,239633,MORNING CHERRY,IAN TAYLOR Y CIA. S.A.,EUKOHUSQ1945108,28122023,EUKOR CAR CARRIERS,DOLAR USA,383609,"27715,44","311,81","411636,25",87021019,34
20960013,103,VALPARAISO,PUDAHUEL,10870,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,237395,ISOLDANA,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)ISCSVAP010203(H)SHP0123893,6092023,WORLDWIDE CONTAINER LINE,DOLAR USA,235240,"25393,16","212,24","260845,4",87021091,4
20965040,103,VALPARAISO,PUDAHUEL,10870,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,237395,ISOLDANA,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)ISCSVAP010203(H)SHP0123893,6092023,WORLDWIDE CONTAINER LINE,DOLAR USA,407400,"43977,1","367,58","451744,68",87021091,3
21014353,103,VALPARAISO,PUDAHUEL,10870,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,237395,ISOLDANA,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)ISCSVAP010203(H)SHP0123893,6092023,WORLDWIDE CONTAINER LINE,DOLAR USA,407400,"43977,1","367,58","451744,68",87021091,3
20996239,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"993108,21",65520,"760,62","1059388,83",87021099,21
20957820,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"4120468,57",243360,"3148,08","4366976,65",87021099,78
20958466,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"210741,81",12480,"162,2","223384,01",87021099,4
21013618,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"315774,19",18720,"240,9","334735,09",87021099,6
21007913,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"159483,29",9360,"121,77","168965,06",87021099,3
21024271,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"158972,67",9360,"122,31","168454,98",87021099,3
20977521,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"2262513,26",134160,"1735,48","2398408,74",87021099,43
21021606,151,SAN ANTONIO,ESTACION CENTRAL,7250,ALEMANIA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.ALEMANIA,SAN ANTONIO,GENERAL,238250,GRAND ORION,INCHCAPESHIPPING SERVICES B.V. CHILE LIMITADA,NYKS640004126,12122023,NIPPON YUSEN KAISHA,EURO,"47303,62",3120,"36,22","50459,84",87021099,1
20969631,151,SAN ANTONIO,ESTACION CENTRAL,7250,JAPON,"MARITIMA, FLUVIAL Y LACUSTRE",NAGOYA,SAN ANTONIO,GENERAL,239651,JASPER ARROW,AGENCIAS UNIVERSALES S.A.,NYKS182149963,13122023,NIPPON YUSEN KAISHA,,"39323,64","3687,89","30,2","43041,73",87021091,1
20987696,151,SAN ANTONIO,ESTACION CENTRAL,7250,JAPON,"MARITIMA, FLUVIAL Y LACUSTRE",NAGOYA,SAN ANTONIO,GENERAL,239651,JASPER ARROW,AGENCIAS UNIVERSALES S.A.,NYKS182149963,13122023,NIPPON YUSEN KAISHA,,"39744,4","3687,88","30,48","43462,76",87021091,1
20986038,151,SAN ANTONIO,QUILICURA,13324,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,SAN ANTONIO,GENERAL,239594,YANTIAN,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.,JNG0147541,15122023,CMA CGM,,"464409,73",26091,"79,41","490580,14",87021091,26
21002255,151,SAN ANTONIO,QUILICURA,13324,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",SHANGAI,SAN ANTONIO,GENERAL,239594,YANTIAN,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.,JNG0150039,15122023,CMA CGM,,"454153,45","23997,19","79,03","478229,67",87021011,24
21002255,151,SAN ANTONIO,QUILICURA,13324,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",SHANGAI,SAN ANTONIO,GENERAL,239594,YANTIAN,SOCIEDAD MARITIMA Y COMERCIAL SOMARCO LTDA.,JNG0150039,15122023,CMA CGM,,"454153,45","23997,19","79,03","478229,67",87021091,24
21002980,151,SAN ANTONIO,QUILICURA,1900,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",SHANGAI,SAN ANTONIO,GENERAL,239633,MORNING CHERRY,IAN TAYLOR Y CIA. S.A.,EUKOSHCL1944025,7012024,EUKOR,DOLAR USA,178464,"19651,32","32,82","198148,14",87021091,10
20985438,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
20949307,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
21015181,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
20996782,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
20962643,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
20978750,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
20981378,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
20993328,151,VALPARAISO,COLINA,1656,CHINA,"MARITIMA, FLUVIAL Y LACUSTRE",OTROS PTOS.DE CHINA,VALPARAISO,GENERAL,240148,BAO QUAN,ULTRAMAR AGENCIA MARITIMA LIMITADA,(M)BQTJVAP13(H)SHP0128309,1122023,WORLDWIDE CONTAINER LINE,PESO CL,"48950,85","5804,29","68,07","54823,21",87021091,1
