ID,NUMERO_IDENTIFICADOR,NOMBRE_ESTANDARIZADO,MARCA_ESTANDARIZADA
1,20997043,CAMION,RAM
2,20955958,BUS,GOLDEN DRAGON
3,20969631,BUS,MITSUBISHI FUSO
4,20987696,BUS,MITSUBISHI FUSO
5,20961954,AUTOMOVIL,NISSAN
6,20991395,AUTOMOVIL,DONGFENG MOTOR
7,20960013,BUS,YUTONG
8,20965040,BUS,YUTONG
9,21014353,BUS,YUTONG
10,20996239,BUS,MERCEDES BENZ
11,20972826,AUTOMOVIL,FORD
12,20994197,AUTOMOVIL,FORD
13,21020614,AUTOMOVIL,DONGFENG MOTOR
14,20965896,AUTOMOVIL,HYUNDAI
15,20952617,AUTOMOVIL,HYUNDAI
16,21028461,CASA RODANTE,MERCEDES BENZ
18,21005650,AUTOMOVIL,FORD
19,21003176,AUTOMOVIL,FORD
20,20961362,AUTOMOVIL,NISSAN
21,20991395,AUTOMOVIL,DONGFENG MOTOR
22,20957820,BUS,MERCEDES BENZ
23,20958466,BUS,MERCEDES BENZ
24,20968368,MINI BUS,FORD
25,20990018,MINI BUS,FORD
26,21028775,MINI BUS,FORD
27,20965818,MINI BUS,FORD
28,20960016,MINI BUS,MAXUS
29,20967580,MINI BUS,MAXUS
30,20991778,MINI BUS,MAXUS
31,21005441,MINI BUS,MAXUS
32,21002255,MINI BUS,JAC
33,21013618,BUS,MERCEDES BENZ
34,21007913,BUS,MERCEDES BENZ
35,20985438,BUS,ZHONGTONG
36,20949307,BUS,ZHONGTONG
37,21015181,BUS,ZHONGTONG
38,20996782,BUS,ZHONGTONG
39,20962643,BUS,ZHONGTONG
40,21027483,AUTOMOVIL,FERRARI
41,20997043,AUTOMOVIL,FIAT
42,20985864,AUTOMOVIL,FIAT
43,20987142,AUTOMOVIL,TRIUMPH
44,20955068,AUTOMOVIL,ALFA ROMEO
45,20962556,AUTOMOVIL,HYUNDAI
46,20972826,CAMION,FORD
47,20955944,OTROS,FORD
48,20994632,OTROS,NO ESPECIFICADA
49,20998479,AUTOMOVIL,HYUNDAI
50,20958717,AUTOMOVIL,HYUNDAI
51,20989235,AUTOMOVIL,HYUNDAI
52,21027515,AUTOMOVIL,NO ESPECIFICADA
53,21027541,AUTOMOVIL,NO ESPECIFICADA
54,20977213,AUTOMOVIL,NO ESPECIFICADA
55,20977262,AUTOMOVIL,NO ESPECIFICADA
56,20965658,AUTOMOVIL,NO ESPECIFICADA
57,20964477,AUTOMOVIL,HYUNDAI
58,21021220,AUTOMOVIL,HYUNDAI
59,21001531,MINI BUS,MAXUS
60,21024024,MINI BUS,MAXUS
61,20981434,MINI BUS,HYUNDAI
62,20956971,AUTOMOVIL,FORD
63,20958630,AUTOMOVIL,FORD
64,20973839,AUTOMOVIL,FORD
65,20945710,AUTOMOVIL,FORD
66,21010112,AUTOMOVIL,JEEP
67,20979824,AUTOMOVIL,JEEP
68,21030437,CASA RODANTE,FIAT
